customer_id,age,region,subscription_type,device_type,contract_type,payment_method,satisfaction_score,tenure_months,monthly_spend,sessions_per_week,avg_session_minutes,weekly_minutes,usage_score_proxy,support_tickets_90d,payment_delays_6m,last_login_days_ago,estimated_income,usage_variability,engagement_score,spend_per_session,promo_opt_in,auto_renew,churn
1802,43,West,Basic,Desktop,Annual,Card,4,12,31.29,5.45,25.33,141.32,125.04,1,0,3.16,71992.25,9.28,66.35,5.74,Yes,1,0
1191,56,Central,Premium,Tablet,Monthly,Digital Wallet,3,20,94.87,4.02,17.73,71.07,72.07,1,1,1.32,76491.36,5.8,64.48,23.6,No,1,0
1818,49,South,Standard,Mobile,Quarterly,Card,3,14,52.79,3.28,26.7,97.86,78.26,3,1,3.51,50142.54,5.85,65.29,16.08,Yes,1,0
252,42,West,Premium,Mobile,Monthly,Card,4,43,95.69,3.92,18.71,81.94,56.04,0,1,0.1,46343.44,5.98,74.45,24.38,No,1,0
2506,49,Central,Basic,Mobile,Quarterly,Digital Wallet,3,19,21.77,4.34,19.14,83.87,50.05,1,0,6.89,45548.74,4.22,70.99,5.02,Yes,1,0
1118,34,North,Basic,Mobile,Monthly,Digital Wallet,4,15,18.98,5.25,24.57,141.65,96.04,1,0,1.16,70440.52,17.99,72.82,3.61,Yes,1,1
1412,65,Central,Standard,Desktop,Monthly,Bank Transfer,5,24,69.16,2.23,,68.8,51.73,1,0,6.77,52882.83,14.63,71.4,30.99,Yes,1,0
2114,40,North,Basic,Mobile,Annual,Bank Transfer,2,25,26.69,4.3,,62.15,44.19,2,0,9.89,88642.97,11.09,62.74,6.21,No,1,0
409,18,East,Basic,Desktop,Monthly,Card,2,17,32.48,2.73,38.48,98.77,40.86,2,0,18.79,,3.63,48.72,11.91,Yes,1,1
2580,54,Central,Basic,Mobile,Quarterly,Card,2,8,17.73,8.39,26.47,203.92,163.12,2,0,1.57,40345.43,10.3,61.19,2.11,No,0,1
2255,50,North,Basic,Mobile,Quarterly,Bank Transfer,4,7,26.92,5.1,28.19,144.82,94.43,3,0,2.62,47123.8,10.95,62.25,5.28,Yes,0,0
53,21,East,Basic,Mobile,Annual,Bank Transfer,2,29,38.73,4.69,24.53,99.61,97.79,3,1,6.83,75713.8,12.21,63.36,8.25,No,1,1
645,34,Central,Premium,Mobile,Monthly,Card,5,31,92.6,10.43,28.13,293.88,214.4,0,2,5.57,77772.52,12.36,100,8.88,No,1,0
1764,25,South,Standard,Mobile,Quarterly,Digital Wallet,4,40,60.38,4.26,19.77,89.03,84.5,3,0,,37644.54,34.38,63.26,14.17,Yes,1,1
2777,45,North,Standard,Mobile,Monthly,Card,4,17,64.74,5.06,22.7,101.83,62.63,0,0,9.1,45109.34,11.75,64.28,12.8,Yes,0,0
901,43,North,Basic,Mobile,Monthly,Bank Transfer,2,18,33.28,6.01,28.81,178.51,123.08,1,1,9.18,45595.83,1.06,,5.54,Yes,1,0
1074,19,East,Premium,Mobile,Monthly,Bank Transfer,4,37,104.1,3.42,16.54,35.45,51.72,2,0,6.63,96100.48,10.69,49.82,30.44,No,0,1
473,35,South,Standard,Mobile,Monthly,Bank Transfer,3,23,41.8,5.41,27.62,148.83,114.48,1,2,8.36,40073.64,10.42,66.38,7.72,No,1,1
2739,67,West,Premium,Desktop,Monthly,Bank Transfer,2,10,92.2,4.69,21,80.83,83.69,2,2,5.56,68931.77,8.49,72.8,19.65,No,0,0
2547,34,Central,Standard,Mobile,Quarterly,Card,5,13,59.85,6.33,25.29,156.21,129.14,0,1,3.22,56863.57,2.18,64.6,9.45,Yes,1,0
45,39,West,Standard,Desktop,Monthly,Bank Transfer,1,46,72.1,2.75,22.95,65.42,35.92,0,1,8.74,83824.52,24.82,,26.25,Yes,1,0
290,37,South,Basic,Mobile,Monthly,Digital Wallet,4,38,38.49,7.17,24.45,182.11,117.87,2,0,,53484.19,30.92,64.34,5.37,Yes,0,0
913,45,South,Standard,Desktop,Quarterly,Card,1,20,54.56,5.41,27.59,146.22,109.58,3,0,7.89,20481.73,4.29,72.51,10.08,No,0,1
2084,40,North,Standard,Mobile,Monthly,Digital Wallet,4,15,60.83,4.13,27.85,110.61,86.81,3,0,2.62,65232.94,12.67,63.79,14.72,No,0,0
1361,33,Central,Standard,Desktop,Monthly,Card,5,24,45.82,4.73,21.35,84.52,86.78,4,2,11.97,95263.56,13.96,,9.68,No,0,0
2896,23,West,Standard,Desktop,Quarterly,Digital Wallet,4,26,59.89,6.4,27.62,160.15,122.21,1,0,11.46,41729.57,11.99,50.46,9.36,No,0,0
2604,40,East,Basic,Mobile,Annual,Bank Transfer,3,29,8.33,6.29,32.65,192.32,146.98,3,2,16.82,60659.11,15.07,61.14,1.32,Yes,1,0
1227,47,East,Basic,Mobile,Monthly,Digital Wallet,3,6,18.7,3.94,22.14,87.94,26.77,3,2,3.38,42970.86,14.32,,4.75,No,1,1
297,42,West,Basic,Desktop,Monthly,Bank Transfer,3,30,30.8,4.73,30.74,152.86,109.34,1,2,5.31,64901.39,7.86,81.77,6.52,Yes,1,0
1242,26,South,Basic,Mobile,Monthly,Digital Wallet,4,9,31.13,9.76,31.66,313.76,224.58,3,0,,24775.03,19.26,60.12,3.19,No,1,0
1006,42,West,Basic,Mobile,Monthly,Card,3,5,36.52,5.39,13.06,60.8,43.49,0,1,3,52122.57,4.96,69.92,6.78,No,1,1
1666,30,West,Standard,Mobile,Monthly,Bank Transfer,4,20,46.93,3.07,33.72,105.74,96.81,0,0,14.26,57771.6,6.57,43.74,15.29,No,1,0
747,60,South,Basic,Mobile,Annual,Card,1,19,24.3,6.05,15.31,104.07,77.41,0,0,34.11,57088.12,12.64,13.52,4.02,Yes,1,1
2852,55,West,Basic,Desktop,Monthly,Digital Wallet,3,16,28.52,4.07,30.32,136.1,100.51,1,2,18.35,51858.11,8.94,44.62,7,Yes,1,0
292,40,East,Standard,Desktop,Monthly,Bank Transfer,1,22,60.07,6.09,23.98,161.47,114.61,3,0,7.94,50785.02,30.01,,9.87,No,1,1
782,37,South,Standard,Mobile,Monthly,Digital Wallet,4,11,65.21,9.55,32.79,307.67,223.38,2,1,4.19,47739.22,22.39,90.18,6.83,Yes,1,0
2145,29,East,Basic,Mobile,Monthly,Card,3,33,28.7,4.03,26.76,96.35,62.9,1,0,2.39,38770.22,5.54,63.24,7.12,No,0,0
323,52,North,Basic,Mobile,Monthly,Bank Transfer,5,25,30.51,3.62,11.55,38.85,52.21,1,1,5.01,,16.21,44.47,8.43,No,0,0
299,18,East,Standard,Desktop,Monthly,Card,3,45,56.96,2.88,16.96,43.02,34.13,3,3,6.18,49125.69,30.51,69.13,19.74,Yes,0,0
1299,24,East,Premium,Tablet,Quarterly,Card,4,15,89.67,6.95,19.78,135.13,146.54,2,0,2.47,66405.27,15.69,60.78,12.9,No,0,1
195,25,South,Premium,Desktop,Monthly,Card,4,5,78.01,3.84,31.55,110.91,77.09,3,1,17.36,92337.87,8.88,47.21,20.31,No,1,1
64,45,West,Basic,Mobile,Annual,Bank Transfer,5,16,17.1,4.37,,125.87,71.5,1,3,7.19,65737.56,4.76,,3.91,No,1,0
394,44,West,Standard,Tablet,Annual,Digital Wallet,4,22,56.64,8.94,15.79,144.3,129.11,2,0,3.49,56687.61,7.86,65.05,6.34,No,1,0
728,47,East,Standard,Mobile,Monthly,Card,5,13,54.73,4.84,25.98,134.05,97.76,1,0,11.2,54845.17,3.61,65.25,11.32,No,1,0
1584,30,East,Basic,Mobile,Monthly,Card,3,21,28.52,0.66,23.5,18.57,32.62,1,0,3.78,38741.14,12.68,43.09,43.31,No,0,0
1548,28,East,Standard,Tablet,Monthly,Bank Transfer,2,27,55.74,4.84,9.36,23.85,17.74,1,4,3.89,63581.75,14.21,59.44,11.52,Yes,1,0
2426,52,Central,Basic,Mobile,Annual,Digital Wallet,5,10,41.5,4.02,16.55,82.74,89.17,3,0,2.12,19959.68,11.67,53.69,10.32,No,1,0
15,44,South,Premium,Mobile,Quarterly,Digital Wallet,2,11,77.59,6.35,29.03,180.29,132.79,2,0,2.37,58791.94,14.04,74.75,12.23,Yes,1,0
2568,43,North,Standard,Tablet,Monthly,Digital Wallet,2,59,72.15,7.81,22.79,183.72,153.54,3,0,8.53,54223.37,6.16,58.63,9.24,No,1,1
1601,37,South,Basic,Desktop,Annual,Digital Wallet,3,30,46.01,3.82,23.81,78.92,45.31,2,0,12.19,51809.36,6.08,51.14,12.05,Yes,1,0
1091,31,South,Standard,Mobile,Monthly,Card,4,17,50.66,9.71,26.7,250.12,179.56,1,1,1.98,76817.14,8.51,100,5.22,No,0,0
2112,44,North,Standard,Desktop,Quarterly,Digital Wallet,5,10,43.86,6.3,28.82,172.78,100.5,2,1,6.18,39508.23,7.81,76.63,6.96,Yes,0,0
204,46,West,Basic,Desktop,Quarterly,Bank Transfer,2,17,31.51,4.93,27.07,138.48,102.28,1,2,2.29,58870.22,5.82,58.81,6.39,No,1,0
2419,45,West,Standard,Desktop,Monthly,Bank Transfer,3,28,55.55,3.44,25.65,92.75,67.24,1,1,1.92,53023.4,11.24,53.01,16.15,No,1,1
153,18,West,Basic,Desktop,Quarterly,Card,5,56,31.26,4.72,31.59,150.36,86.86,1,1,1.57,52423.4,8.42,,6.62,No,0,0
2902,21,East,Premium,Tablet,Monthly,Card,3,25,398.0516698,9.68,66.48109478,178.46,130.79,13,1,5.23,97009.53,18.79,93.94,7.8,Yes,1,0
1360,35,South,Premium,Mobile,Annual,Bank Transfer,3,17,98.02,3.8,20.99,76.41,96.62,1,1,4.24,54933.36,8.6,62.08,25.78,Yes,1,0
773,41,West,Basic,Desktop,Monthly,Card,2,1,27.15,7.04,21.9,144.77,96.38,0,0,5.77,82393.81,16.97,68,3.86,Yes,0,1
2679,18,Central,Standard,Desktop,Annual,Card,4,36,65.36,0.2,11.91,5,41.25,2,4,14.45,23970.05,32.37,33.02,217.87,No,1,1
1002,29,East,Basic,Mobile,Monthly,Card,5,17,24.99,4.99,15.92,94.71,65.51,1,0,3.96,54354.13,6.61,72.32,5,No,1,0
719,34,West,Premium,Tablet,Monthly,Bank Transfer,5,18,98.77,3.69,11.01,46.26,53.82,2,1,3.45,48507.82,5.14,64.14,26.76,Yes,1,0
613,21,East,Premium,Mobile,Monthly,Digital Wallet,3,40,94.1,7.93,22.9,186.53,159.99,1,0,1.51,68394.77,10.02,85.6,11.86,No,1,0
843,59,South,Standard,Mobile,Annual,Bank Transfer,4,46,69.47,6.04,24.98,156.24,125.42,2,2,11.39,52557.85,18.54,50.07,11.51,No,1,0
267,40,Central,Basic,Mobile,Monthly,Card,4,13,34.09,6.44,21.97,174.53,157.83,2,1,4.75,59148.37,3.37,61.39,5.29,Yes,1,0
52,46,South,Standard,Desktop,Monthly,Card,3,8,53.85,3.4,20.17,60.21,63.39,0,0,2.49,56283.07,2.88,,15.85,Yes,1,0
1196,62,East,Basic,Mobile,Quarterly,Bank Transfer,5,17,23.88,3.13,30.79,93.66,91.12,0,4,13.76,53841,12.22,29.31,7.63,Yes,0,0
1271,56,North,Basic,Tablet,Monthly,Bank Transfer,3,6,28.37,5.74,30.18,162.19,123.33,1,0,1.23,83563.65,3,71.46,4.94,No,0,0
1492,38,South,Basic,Desktop,Annual,Card,1,16,42.73,5.27,32.08,184.71,136.79,1,0,3.89,,6.62,50.61,8.11,Yes,1,0
1583,45,North,Basic,Mobile,Monthly,Card,5,23,36.24,7.98,34.5,262.63,189.06,1,3,6.94,36159.17,5.24,69.11,4.54,No,1,1
522,27,Central,Standard,Tablet,Quarterly,Bank Transfer,3,11,,5.78,28.36,166.46,124.59,1,0,4.46,81293.14,21.52,81.95,10.84,Yes,1,0
1695,23,South,Basic,Mobile,Quarterly,Digital Wallet,5,13,23.02,5.91,17.94,92.21,55.61,0,0,,51834.29,13.6,80.48,3.89,No,1,0
2664,21,North,Standard,Desktop,Quarterly,Digital Wallet,2,12,45.15,4.6,12.19,59.66,70.91,3,2,9.68,80484.43,3.61,,9.81,Yes,0,0
2749,36,East,Premium,Mobile,Monthly,Card,5,25,78.93,0.99,14.81,20.97,39.44,0,1,21.92,47973.46,17,8.73,79.96,Yes,1,1
1922,50,West,Basic,Mobile,Monthly,Bank Transfer,4,24,28.66,7.74,22.05,173.16,136.76,0,0,0.03,60402.46,6.17,81.89,3.7,No,1,0
103,34,Central,Standard,Mobile,Monthly,Digital Wallet,5,33,56.41,4.84,24.72,122.75,81.06,2,0,5.51,71748.49,10.54,79.72,11.65,No,0,1
696,29,East,Premium,Mobile,Monthly,Card,2,11,85.9,6.97,23.63,156.42,124.12,2,2,8.52,72529.37,36.54,90.6,12.33,No,1,0
2333,41,North,Premium,Mobile,Quarterly,Card,2,21,,7.74,37.14,275.67,219.05,2,1,24.83,74579.37,7.64,42.25,10.6,Yes,1,0
2725,31,West,Standard,Desktop,Quarterly,Card,3,6,64.59,5.05,33.68,181.67,133.72,2,1,2.56,101454.61,13.95,81.87,12.78,No,1,0
2273,46,East,Basic,Mobile,Monthly,Bank Transfer,2,9,34.05,5.71,19.03,104.72,72.49,1,1,1.15,59538.88,17.45,70.74,5.96,No,0,0
2483,41,North,Standard,Mobile,Annual,Card,3,5,50.39,0.2,17.06,5,0,2,1,8.51,77833.25,11.41,62.59,167.95,Yes,1,0
1843,49,Central,Premium,Desktop,Monthly,Bank Transfer,4,15,93.68,7.88,25.62,199.6,155.9,2,2,19.69,54356.92,11.13,56.77,11.89,No,1,1
1831,47,South,Standard,Mobile,Quarterly,Card,3,24,55.28,2.46,29.37,68.24,61.39,1,0,7.48,56693.69,5.08,56.19,22.46,Yes,1,1
795,18,South,Basic,Mobile,Annual,Card,2,10,,2.83,25.53,86.9,80.49,2,2,8.92,71726.81,5.38,61.56,10.1,Yes,1,0
1821,18,South,Premium,Mobile,Annual,Card,4,18,99.76,5.59,19.4,108.19,116.1,2,0,2.22,67843.1,11,66.99,17.83,Yes,1,0
2002,30,East,Basic,Desktop,Monthly,Card,3,3,12.16,4.94,28.52,135.39,82.19,3,0,19.08,27646.88,7.83,49.71,2.46,Yes,1,1
145,28,West,Basic,Desktop,Monthly,Card,5,7,20.91,0.98,27.53,19.73,61.83,1,1,6.04,,8.15,45.68,21.43,No,0,1
2526,46,Central,Standard,Mobile,Monthly,Card,5,30,53.73,2.93,13.42,43.61,65.18,3,0,13.45,18000,16.24,36.7,18.34,Yes,1,1
1331,18,West,Basic,Mobile,Monthly,Card,5,27,24.82,3.25,11.68,50.82,44.52,1,0,4.14,,32.88,53.72,7.64,No,1,0
2478,41,West,Standard,Mobile,Monthly,Bank Transfer,4,27,58.65,2.16,17.54,30,33.95,3,1,5.33,52082.15,10.04,51.04,27.11,No,1,0
2882,49,East,Basic,Mobile,Monthly,Card,5,3,16.42,6.18,19.99,123.74,58.98,1,0,1.38,56922.71,21.52,71.13,2.66,No,0,0
322,36,Central,Basic,Mobile,Quarterly,Digital Wallet,2,15,51.51,5.95,26.62,160.49,126.73,3,0,2.27,34817.2,3.52,76.26,8.66,No,1,0
1262,39,North,Basic,Mobile,Monthly,Digital Wallet,4,18,32.7,2.02,,31.93,41.44,2,1,11.94,61059.11,3.26,52.19,16.16,No,1,1
2415,51,Central,Premium,Mobile,Quarterly,Card,5,32,89.54,4.55,21.8,101.25,96.57,0,2,22.14,73927.51,8.44,39.32,19.68,No,0,0
1270,45,North,Standard,Desktop,Monthly,Bank Transfer,4,13,46.67,7.23,24.22,183.09,145.29,2,0,2.14,48166.61,27.83,71.25,6.46,Yes,0,0
1761,24,South,Standard,Mobile,Monthly,Bank Transfer,5,4,38.17,6.19,27.63,175.73,131.66,1,0,1.03,53742.94,13.18,76.95,6.17,No,0,1
417,51,West,Standard,Mobile,Monthly,Bank Transfer,2,3,42.87,6.9,26.76,185.58,125.99,3,1,17.51,54228.17,11.19,,6.21,No,0,1
2632,26,North,Basic,Mobile,Quarterly,Card,3,38,22.17,8.13,,216.5,136.68,1,1,7.33,76728.26,7.93,88.77,2.73,No,0,1
2292,52,North,Standard,Tablet,Annual,Card,5,24,46.39,7.15,20.02,146.93,98.92,0,2,0.12,67620.95,3.78,66.3,6.48,Yes,1,0
175,23,East,Basic,Desktop,Quarterly,Digital Wallet,4,46,44.28,0.63,26.22,10.46,10.42,1,0,9.94,45290.62,9.13,49.24,69.99,No,0,1
1726,39,North,Basic,Mobile,Monthly,Bank Transfer,4,6,14.13,3.2,25.68,85.29,52.63,2,1,7.25,59854.54,3.42,51.94,4.42,No,0,0
2176,39,East,Basic,Mobile,Quarterly,Card,2,34,44.64,7.6,22.82,174.2,122.57,1,0,4.61,,14.45,62.3,5.87,Yes,1,1
46,41,North,Basic,Mobile,Monthly,Card,2,29,21.81,5.52,28.6,166.72,107.01,4,0,3.21,63231.28,5.27,64.48,3.95,Yes,1,0
686,32,South,Standard,Desktop,Monthly,Card,3,26,51.82,7.76,34.3,263.34,180.01,3,0,10.28,33073.7,4,58.26,6.68,No,1,0
1608,40,North,Premium,Mobile,Monthly,Digital Wallet,4,36,79.4,5.58,18.38,102.58,111.96,1,1,10.95,25604.87,0.73,62.53,14.22,No,0,0
1232,25,Central,Premium,Desktop,Annual,Card,5,7,93.6,8.81,27.34,237.16,209.8,1,1,24.58,44680.35,25.02,39.81,10.63,No,1,1
863,37,North,Standard,Mobile,Quarterly,Digital Wallet,4,18,52.07,5.41,19.45,123.83,117.7,2,0,4.32,40012.19,10.45,66.41,9.62,No,1,0
1966,44,Central,Standard,Mobile,Annual,Digital Wallet,3,15,62.45,6.94,22.54,167.08,115.57,2,1,14.9,42153.87,4.02,54.99,8.99,No,1,0
332,46,East,Basic,Mobile,Quarterly,Card,2,12,45.48,2.74,16.82,16.16,13.1,2,0,8.08,45578.99,18.68,45.43,16.61,No,1,0
94,37,West,Premium,Mobile,Monthly,Card,3,47,88.47,5.4,40.28,233.1,164.02,0,1,12.89,57431.25,14.16,59.45,16.38,Yes,0,0
1642,44,West,Standard,Mobile,Annual,Card,4,13,44.33,4.06,13.04,50.6,33.5,1,2,1.77,62202.93,14.09,54.21,10.91,No,1,0
2987,41,East,Premium,Tablet,Annual,Card,2,17,82.3,4.08,9.89,49.14,63.96,2,0,4.65,68836.86,17.19,61.49,20.19,No,1,0
507,67,South,Standard,Desktop,Annual,Card,1,9,61.85,7.85,37.87,307.81,224.05,5,0,8.47,42307.35,16.22,67.34,7.88,No,1,0
2910,45,East,Standard,Mobile,Monthly,Digital Wallet,5,34,62.41,7.97,25.97,221.3,153.19,1,1,2.35,34451.73,8.01,75.41,7.83,No,1,0
2046,26,West,Standard,Mobile,Annual,Card,3,6,,6.86,19.6,127.25,121.13,3,1,3.17,45991.87,14.2,57.83,8.35,No,1,1
496,49,Central,Standard,Mobile,Monthly,Bank Transfer,4,9,55.83,5.78,19.71,103.33,67.82,0,0,2.83,44817.72,10.09,69.1,9.65,Yes,0,1
2133,33,East,Standard,Mobile,Quarterly,Card,5,19,48.33,7.08,24.72,172.7,120.48,1,3,15.92,61419.33,4.26,51.74,6.82,Yes,1,0
1,42,Central,Basic,Mobile,Monthly,Digital Wallet,5,5,37.28,0.36,25.35,14.06,0,4,1,33.15,51373.18,8.05,5,104.69,Yes,0,1
315,48,West,Premium,Mobile,Monthly,Bank Transfer,2,8,87.59,9.14,35.69,334.39,243.07,0,2,5.36,58416.45,7.78,84.31,9.58,No,0,0
1273,34,South,Basic,Tablet,Monthly,Card,5,24,42.66,3.93,9.74,36.09,33.19,3,0,17.95,72506.45,29.65,29.81,10.85,Yes,1,0
1942,39,North,Standard,Desktop,Quarterly,Digital Wallet,3,25,58.05,5.41,,84.02,48.6,0,1,2.49,46811.08,6.45,62.77,10.74,Yes,1,0
2968,30,South,Basic,Desktop,Monthly,Digital Wallet,2,12,32.1,8.4,21.22,170.22,110.65,2,1,4.53,65485.09,7.86,67.7,3.82,No,1,1
1317,36,North,Basic,Desktop,Annual,Card,3,58,,6.16,28.95,165.26,127.93,1,0,13.02,82841.25,8.58,50.16,7.94,No,1,0
756,52,South,Basic,Tablet,Annual,Card,3,20,30.78,6.72,22.78,156.97,107.37,0,0,4.18,18000,9.07,73.85,4.58,No,1,0
1771,33,East,Basic,Desktop,Quarterly,Card,5,22,36.64,0.29,,7.09,23.4,1,0,5.16,48290.01,8.89,55.31,122.13,Yes,1,0
1201,22,East,Premium,Desktop,Quarterly,Digital Wallet,1,12,92.67,4.88,23.22,114.62,115.82,2,0,2.82,71683.85,16.89,76.35,19.01,Yes,1,1
2175,42,West,Basic,Mobile,Quarterly,Card,1,67,39.88,1.91,18.32,33.2,22.59,1,0,4.37,,11.17,59.43,20.87,No,1,0
1992,45,South,Standard,Mobile,Quarterly,Digital Wallet,1,15,52.27,6.21,31.94,206.84,144.93,2,2,15.42,58004.58,12.07,65,8.41,Yes,1,0
880,38,East,Standard,Mobile,Monthly,Bank Transfer,5,18,64.48,2.11,,14.07,23.54,1,1,9.96,74438.26,5.12,44.64,30.53,Yes,0,0
766,18,West,Basic,Mobile,Annual,Card,1,15,26.11,4.03,12.27,50.81,25.26,1,0,8.86,45438.46,8.45,,6.48,Yes,1,0
928,43,South,Premium,Mobile,Annual,Bank Transfer,4,10,83.2,5,31.77,180.96,165.97,1,1,5.62,83766.01,15.23,65.56,16.63,Yes,1,0
2378,30,East,Basic,Desktop,Quarterly,Bank Transfer,4,9,37.86,3.35,15.59,48.64,26.98,1,0,1.35,62525.72,21.74,71.79,11.31,Yes,1,0
1375,38,East,Standard,Mobile,Monthly,Bank Transfer,3,18,54.09,4.22,21.52,99.97,102.65,2,1,6.46,55428.8,4.37,56.05,12.81,Yes,0,0
1815,40,Central,Basic,Mobile,Quarterly,Card,1,12,28.15,6.49,36.04,234.1,138.5,2,1,10.95,80489.54,10.02,58.27,4.34,Yes,0,0
1799,31,West,Standard,Tablet,Annual,Bank Transfer,3,24,49.84,3.2,23.91,73.75,67.33,1,0,,40856.06,21.96,28.71,15.57,No,1,0
930,39,West,Standard,Desktop,Monthly,Bank Transfer,1,9,44.77,8.32,21.97,187.2,149.59,0,1,4.3,37305.72,8.43,84.76,5.38,Yes,0,0
